2023-01-30 18:52:57,836 INFO    MainThread:42036 [wandb_setup.py:_flush():68] Configure stats pid to 42036
2023-01-30 18:52:57,839 INFO    MainThread:42036 [wandb_setup.py:_flush():68] Loading settings from C:\Users\msayd\.config\wandb\settings
2023-01-30 18:52:57,839 INFO    MainThread:42036 [wandb_setup.py:_flush():68] Loading settings from C:\Users\msayd\Documents\Foundations of Deep Learning\Project\dl-competition\wandb\settings
2023-01-30 18:52:57,839 INFO    MainThread:42036 [wandb_setup.py:_flush():68] Loading settings from environment variables: {'_require_service': 'True'}
2023-01-30 18:52:57,839 INFO    MainThread:42036 [wandb_setup.py:_flush():68] Inferring run settings from compute environment: {'program_relpath': 'src\\main.py', 'program': 'C:\\Users\\msayd\\Documents\\Foundations of Deep Learning\\Project\\dl-competition\\src\\main.py'}
2023-01-30 18:52:57,841 INFO    MainThread:42036 [wandb_init.py:_log_setup():478] Logging user logs to C:\Users\msayd\Documents\Foundations of Deep Learning\Project\dl-competition\wandb\run-20230130_185257-2a2w5vwf\logs\debug.log
2023-01-30 18:52:57,841 INFO    MainThread:42036 [wandb_init.py:_log_setup():479] Logging internal logs to C:\Users\msayd\Documents\Foundations of Deep Learning\Project\dl-competition\wandb\run-20230130_185257-2a2w5vwf\logs\debug-internal.log
2023-01-30 18:52:57,841 INFO    MainThread:42036 [wandb_init.py:init():518] calling init triggers
2023-01-30 18:52:57,841 INFO    MainThread:42036 [wandb_init.py:init():521] wandb.init called with sweep_config: {}
config: {}
2023-01-30 18:52:57,841 INFO    MainThread:42036 [wandb_init.py:init():571] starting backend
2023-01-30 18:52:57,841 INFO    MainThread:42036 [wandb_init.py:init():575] setting up manager
2023-01-30 18:52:57,841 INFO    MainThread:42036 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=spawn, using: spawn
2023-01-30 18:52:57,849 INFO    MainThread:42036 [wandb_init.py:init():582] backend started and connected
2023-01-30 18:52:57,849 INFO    MainThread:42036 [wandb_init.py:init():670] updated telemetry
2023-01-30 18:52:57,896 INFO    MainThread:42036 [wandb_init.py:init():710] communicating run to backend with 60.0 second timeout
2023-01-30 18:52:58,346 INFO    MainThread:42036 [wandb_run.py:_on_init():2121] communicating current version
2023-01-30 18:52:58,460 INFO    MainThread:42036 [wandb_run.py:_on_init():2125] got version response 
2023-01-30 18:52:58,460 INFO    MainThread:42036 [wandb_init.py:init():758] starting run threads in backend
2023-01-30 18:52:58,659 INFO    MainThread:42036 [wandb_run.py:_console_start():2101] atexit reg
2023-01-30 18:52:58,661 INFO    MainThread:42036 [wandb_run.py:_redirect():1959] redirect: SettingsConsole.WRAP_RAW
2023-01-30 18:52:58,661 INFO    MainThread:42036 [wandb_run.py:_redirect():2024] Wrapping output streams.
2023-01-30 18:52:58,661 INFO    MainThread:42036 [wandb_run.py:_redirect():2046] Redirects installed.
2023-01-30 18:52:58,661 INFO    MainThread:42036 [wandb_init.py:init():798] run started, returning control to user process
2023-01-30 18:53:04,806 WARNING MsgRouterThr:42036 [router.py:message_loop():77] message_loop has been closed
